year,month,day,hour,min,sec,lat,long,h
1997,1,1,1,44,00.5,45.5,26.5,130
1997,1,10,21,50,37,48.03,25.40,33
1997,1,23,14,8,44,48.60,24.60,33
1997,2,7,21,28,32,45.55,26.75,160
1997,3,1,19,26,06.09,45.65,26.53,110
1997,3,13,8,13,49.5,45.1,28.45,33
1997,3,19,20,51,00.0,45.6,26.4,150
1997,3,27,18,16,03.0,45.4,26.3,140
1997,4,2,20,48,35.5,45.7,27.5,33
1997,4,7,13,32,39,48.52,23.00,20
1997,4,11,2,39,0,45.6,26.2,130
1997,4,30,22,5,32,45.7,26.3,100
1997,5,17,7,0,17.5,45.0,29.0,33
1997,5,28,20,12,22,48.0,24.1,20
1997,5,31,5,29,03.07,45.7,26.5,130
1997,6,1,10,23,45,47.72,23.97,33
1997,6,4,23,54,7,45.7,26.45,33
1997,6,13,22,30,30,45.8,27.3,100
1997,7,1,7,46,27,48.22,23.86,20
1997,7,4,0,30,59.8,45.80,26.88,90
1997,7,5,5,37,55,48.12,23.95,20
1997,7,14,0,37,22.3,45.77,26.74,150
1997,8,24,9,18,40.3,45.6,26.65,125
1997,8,25,12,32,12,48.0,24.0,20
1997,8,27,20,17,14,45.70,27.32,33
1997,9,19,7,21,20,46.05,25.77,33
1997,9,25,21,30,50,49.1,25.9,33
1997,10,1,16,42,57.6,45.53,26.41,160
1997,10,11,18,59,59.3,45.79,26.78,120
1997,10,22,7,48,59.8,45.59,26.50,140
1997,11,11,23,6,05.0,45.80,26.97,80
1997,11,18,11,23,16.6,45.85,26.90,130
1997,11,30,3,31,55.0,48.45,23.56,20
1997,12,6,12,17,26.0,45.65,27.00,33
1997,12,8,7,0,30,45.9,27.3,33
1997,12,18,23,21,23,45.6,26.5,100
1997,12,30,4,39,29.7,45.58,26.35,150
1998,1,14,5,1,59.1,45.68,26.64,145
1998,1,19,0,53,50.7,45.63,26.71,100
1998,1,31,14,59,32.5,48.17,23.39,20
1998,1,31,21,14,48.7,45.47,26.30,140
1998,2,1,2,58,56,48.04,23.50,20
1998,2,19,14,34,54.6,45.70,26.73,130
1998,3,8,6,25,05.05,48.08,23.53,20
1998,3,13,13,14,37.2,45.51,26.33,160
1998,4,14,1,3,52.1,45.69,26.62,140
1998,4,23,6,37,08.07,45.75,26.70,90
1998,5,1,7,26,54.5,48.1,23.6,20
1998,5,4,16,10,11.0,45.65,26.54,140
1998,5,12,9,48,44,47.90,23.24,33
1998,5,14,6,49,3,47.2,24.4,33
1998,6,2,4,48,53.2,45.6,26.5,100
1998,7,3,6,14,50,45.66,26.76,130
1998,7,27,5,52,35,48.43,23.95,20
1998,7,27,15,2,19.2,45.65,26.53,130
1998,8,6,23,47,8,48.51,23.26,20
1998,8,8,20,50,41,48.16,23.21,20
1998,8,15,0,58,30,48.42,23.50,20
1998,9,3,13,42,39,46.4,26.4,33
1998,10,7,13,12,11.5,48.08,23.95,20
1998,10,8,12,59,11.0,48.1,24.0,20
1998,11,29,13,27,03.09,45.6,26.3,100
1998,12,29,5,56,32.5,45.53,26.57,110
1999,1,4,0,30,34.8,47.84,23.02,20
1999,1,18,13,14,15.1,48.18,23.31,20
1999,1,19,10,26,17.7,48.02,23.09,20
1999,1,23,17,1,08.05,45.64,26.53,140
1999,3,10,11,11,35.0,48.2,23.1,20
1999,3,17,22,10,44.0,45.67,26.62,150
1999,3,19,13,36,47.2,47.85,22.98,20
1999,3,22,19,25,53.7,45.48,26.34,140
1999,3,23,9,11,41.5,45.68,26.52,155
1999,4,4,1,21,12.3,45.63,26.54,150
1999,4,15,2,21,44.7,45.83,26.83,90
1999,4,28,8,47,56.9,45.47,26.32,150
1999,4,29,18,44,13.9,45.59,26.49,140
1999,5,5,12,50,20.5,48.02,22.90,20
1999,5,25,9,35,53.1,45.55,26.52,130
1999,6,22,8,2,06.04,45.62,26.52,160
1999,6,29,20,4,07.08,45.56,26.61,130
1999,6,29,22,23,14.0,48.54,22.08,20
1999,6,29,22,45,05.0,48.50,22.15,20
1999,7,1,2,23,43.7,48.56,22.25,20
1999,7,1,2,37,57.4,48.58,22.14,20
1999,7,1,4,52,20.4,48.47,22.19,20
1999,7,2,2,11,43.5,48.38,22.00,20
1999,7,2,2,30,09.0,48.38,22.00,20
1999,7,13,13,10,57.1,45.62,26.55,140
1999,8,2,6,29,22,47.7,24.1,33
1999,8,7,2,25,50.3,45.59,26.50,120
1999,8,13,21,41,0,47.84,23.13,33
1999,10,19,11,43,21.5,48.86,22.06,20
1999,11,8,19,22,52.8,45.53,26.38,135
1999,11,14,9,5,59.6,45.48,26.29,130
1999,12,14,10,31,01.05,48.18,23.31,20
2000,1,19,23,9,37.9,47.64,26.72,33
2000,1,19,23,19,41,47.6,26.7,33
2000,1,19,23,23,39,47.6,26.7,33
2000,2,18,14,33,30.1,48.14,23.17,20
2000,2,19,11,13,21,48.3,21.9,33
2000,2,22,16,13,25.3,47.75,24.27,33
2000,3,2,6,15,48,47.56,21.08,33
2000,3,2,6,24,39.7,47.58,21.52,33
2000,3,8,22,11,29.2,45.81,26.77,80
2000,3,28,12,39,46.1,46.95,25.22,33
2000,4,6,0,10,38,45.81,26.76,150
2000,4,8,9,28,15,47.7,23.8,20
2000,4,25,10,48,51.6,47.92,23.61,0
2000,4,25,13,2,32.4,48.21,24.24,20
2000,5,9,2,22,46.6,48.44,24.35,20
2000,5,9,2,46,2.3,48.25,24.15,20
2000,5,10,4,27,13,45.62,26.69,140
2000,5,13,20,54,29,48.3,24.2,20
2000,5,13,23,36,8.9,45.69,26.74,100
2000,5,16,11,1,36.4,48.16,23.27,20
2000,5,24,8,45,20.1,46.38,22.36,33
2000,7,1,20,49,59.5,45.85,26.79,90
2000,7,13,13,55,36.6,48.46,24.37,20
2000,7,24,14,6,40,48.29,23.36,20
2000,8,7,12,28,35.2,48.11,23.24,20
2000,8,16,12,57,11.9,48.13,23.19,20
2000,8,21,7,17,51.7,47.67,22.17,33
2000,8,22,12,10,45.2,48.27,23.55,20
2000,8,23,7,53,47.3,47.29,24.95,33
2000,9,7,13,52,25.2,48.21,23.19,20
2000,9,8,19,40,33,47.8,23.08,33
2000,10,23,14,16,48.2,48.2,23.22,20
2000,10,25,14,27,48.3,48.58,27.65,33
2000,11,13,2,52,12.4,48.1,23.56,20
2000,11,26,9,34,20.1,48.24,23.45,20
2000,11,30,21,31,22.6,45.6,26.57,150
2000,12,3,16,31,6.7,48.14,23.44,20
2000,12,16,12,47,34.1,45.74,26.69,150
2000,12,18,3,11,16.5,46.7,20.75,33
2000,12,19,15,29,5.7,45.45,26.31,150
